List Length,Execution Time (ms),Memory Used (kb)
0,0.025,0
10000,4.8,0
20000,1.8,0
30000,1.55,0
40000,1.3,0
50000,1.5,0
60000,2.025,0
70000,2.175,0
80000,2.75,0
90000,3.625,0
100000,3.775,0
110000,3.475,0
120000,3.8,0
130000,4.025,0
140000,4.5,0
150000,4.55,0
160000,5.025,0
170000,5.7,0
180000,5.825,0
190000,5.875,0
200000,6.575,0
210000,7.425,0
220000,6.8,0
230000,7.175,0
240000,7.375,0
250000,7.8,0
260000,8.2,0
270000,8.4,0
280000,9.15,0
290000,9.575,0
300000,9.325,0
310000,9.925,0
320000,11.15,0
330000,10.25,0
340000,13.25,0
350000,14.325,0
360000,13.5,0
370000,12.35,0
380000,12,0
390000,12.5,0